name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Van Hecke,469142,36,454,331,-123,3,2,-1,61,60
Toffolo,114241,17,263,159,-104,3,3,0,52,52
Aina,159506,17,289,160,-129,2,3,1,45,46
Niakhaté,199170,17,238,100,-138,1,0,-1,29,28
Mangala,179519,17,186,209,23,0,1,1,40,41
Maupay,115382,94,248,326,78,6,9,3,76,79
Joelinton,180974,4,209,246,37,3,3,0,45,45
Lascelles,101148,4,212,156,-56,3,2,-1,46,45
Schlupp,86417,31,201,238,37,4,4,0,66,66
Kaboré,476369,102,236,112,-124,3,0,-3,34,31
Gomez,171287,14,390,334,-56,2,3,1,76,77
Chong,222677,102,222,300,78,3,8,5,78,83
Barkley,88894,102,498,576,78,4,11,7,101,108
Igor,223434,36,311,211,-100,1,0,-1,37,36
Lindelof,184667,1,291,237,-54,7,7,0,62,62
Reguilón,199249,94,350,265,-85,14,12,-2,74,72
Tsimikas,214285,14,201,180,-21,4,3,-1,48,47
Pope,98747,4,279,218,-61,1,0,-1,57,56
Sarabia,88484,39,358,415,57,8,10,2,99,101
Brownhill,172782,90,365,411,46,2,3,1,78,79
Raúl,102057,54,237,292,55,13,13,0,72,72
Lerma,152551,31,338,381,43,4,4,0,64,64
Gana,80801,11,337,382,45,10,10,0,73,73
Tavernier,201658,91,324,378,54,5,5,0,89,89
Kluivert,222683,91,229,297,68,2,7,5,100,105
Baldock,82691,49,117,47,-70,2,0,-2,21,19
Miley,547719,4,232,244,12,1,1,0,44,44
Martial,148225,1,73,87,14,2,3,1,25,26
Tomiyasu,223723,3,244,218,-26,4,3,-1,70,69
Iwobi,153133,54,425,476,51,9,10,1,102,103
Rodriguez,44683,90,108,128,20,3,3,0,41,41
Olise,443661,31,438,521,83,21,22,1,125,126
Brown,242453,102,115,146,31,3,3,0,39,39
Mengi,244856,102,345,124,-221,1,1,0,42,42
Lo Celso,200826,6,189,227,38,6,7,1,47,48
Taylor,103914,90,347,181,-166,1,1,0,47,47
